country,sex,age_group,population_000
afg,mf,15_plus,6267.27197265625
afg,mf,15_24,2293.822021484375
afg,mf,15_64,6000.93212890625
afg,mf,25_54,3330.0029296875
afg,mf,25_34,1549.1470947265625
afg,mf,35_54,1780.8560791015625
afg,mf,55_64,377.10699462890625
afg,mf,65_plus,266.3399963378906
afg,m,15_plus,3194.571044921875
afg,m,15_24,1190.114013671875
afg,m,15_64,3067.404052734375
afg,m,25_54,1693.197021484375
afg,m,25_34,800.5180053710938
afg,m,35_54,892.6790161132812
afg,m,55_64,184.09300231933594
afg,m,65_plus,127.16699981689453
afg,f,15_plus,3072.700927734375
afg,f,15_24,1103.7080078125
afg,f,15_64,2933.528076171875
afg,f,25_54,1636.8060302734375
afg,f,25_34,748.6290283203125
afg,f,35_54,888.177001953125
afg,f,55_64,193.01400756835938
afg,f,65_plus,139.17300415039062
afg,mf,15_plus,6646.7080078125
afg,mf,15_24,2439.97900390625
afg,mf,15_64,6362.6201171875
afg,mf,25_54,3522.463134765625
afg,mf,25_34,1634.1881103515625
afg,mf,35_54,1888.2750244140625
afg,mf,55_64,400.1780090332031
afg,mf,65_plus,284.0880126953125
afg,m,15_plus,3398.583984375
afg,m,15_24,1268.593994140625
afg,m,15_64,3262.347900390625
afg,m,25_54,1797.7349853515625
afg,m,25_34,846.2269897460938
afg,m,35_54,951.5079956054688
afg,m,55_64,196.0189971923828
afg,m,65_plus,136.23599243164062
afg,f,15_plus,3248.1240234375
afg,f,15_24,1171.385009765625
afg,f,15_64,3100.27197265625
afg,f,25_54,1724.72802734375
afg,f,25_34,787.9609985351562
afg,f,35_54,936.7670288085938
afg,f,55_64,204.15899658203125
afg,f,65_plus,147.8520050048828
afg,mf,15_plus,7150.39892578125
afg,mf,15_24,2631.27001953125
afg,mf,15_64,6842.68701171875
afg,mf,25_54,3778.09912109375
afg,mf,25_34,1750.779052734375
afg,mf,35_54,2027.320068359375
afg,mf,55_64,433.3180236816406
afg,mf,65_plus,307.7120056152344
afg,m,15_plus,3669.679931640625
afg,m,15_24,1371.8330078125
afg,m,15_64,3521.216064453125
afg,m,25_54,1936.2320556640625
afg,m,25_34,909.2639770507812
afg,m,35_54,1026.968017578125
afg,m,55_64,213.1510009765625
afg,m,65_plus,148.46400451660156
afg,f,15_plus,3480.718994140625
afg,f,15_24,1259.43701171875
afg,f,15_64,3321.470947265625
afg,f,25_54,1841.866943359375
afg,f,25_34,841.5150146484375
afg,f,35_54,1000.3519897460938
afg,f,55_64,220.16700744628906
afg,f,65_plus,159.2480010986328
afg,mf,15_plus,7714.52783203125
afg,mf,15_24,2843.780029296875
afg,mf,15_64,7379.65771484375
afg,mf,25_54,4063.181884765625
afg,mf,25_34,1883.1448974609375
afg,mf,35_54,2180.036865234375
afg,mf,55_64,472.6960144042969
afg,mf,65_plus,334.8699951171875
afg,m,15_plus,3972.89697265625
afg,m,15_24,1486.5570068359375
afg,m,15_64,3810.326904296875
afg,m,25_54,2090.09912109375
afg,m,25_34,980.7769775390625
afg,m,35_54,1109.322021484375
afg,m,55_64,233.67100524902344
afg,m,65_plus,162.57000732421875
afg,f,15_plus,3741.631103515625
afg,f,15_24,1357.2230224609375
afg,f,15_64,3569.3310546875
afg,f,25_54,1973.0830078125
afg,f,25_34,902.3679809570312
afg,f,35_54,1070.7149658203125
afg,f,55_64,239.02499389648438
afg,f,65_plus,172.3000030517578
afg,mf,15_plus,8264.11328125
afg,mf,15_24,3049.10986328125
afg,mf,15_64,7901.48876953125
afg,mf,25_54,4338.6787109375
afg,mf,25_34,2013.2269287109375
afg,mf,35_54,2325.451904296875
afg,mf,55_64,513.7000122070312
afg,mf,65_plus,362.6239929199219
afg,m,15_plus,4266.90478515625
afg,m,15_24,1596.8809814453125
afg,m,15_64,4090.0009765625
afg,m,25_54,2237.697998046875
afg,m,25_34,1050.593994140625
afg,m,35_54,1187.10400390625
afg,m,55_64,255.4219970703125
afg,m,65_plus,176.9040069580078
afg,f,15_plus,3997.2080078125
afg,f,15_24,1452.22900390625
afg,f,15_64,3811.488037109375
afg,f,25_54,2100.98095703125
afg,f,25_34,962.6329956054688
afg,f,35_54,1138.3480224609375
afg,f,55_64,258.27801513671875
afg,f,65_plus,185.72000122070312
afg,mf,15_plus,8755.728515625
afg,mf,15_24,3230.76513671875
afg,mf,15_64,8366.337890625
afg,mf,25_54,4582.26220703125
afg,mf,25_34,2130.529052734375
afg,mf,35_54,2451.73291015625
afg,mf,55_64,553.3109741210938
afg,mf,65_plus,389.3900146484375
afg,m,15_plus,4527.83984375
afg,m,15_24,1693.5789794921875
afg,m,15_64,4337.25390625
afg,m,25_54,2366.779052734375
afg,m,25_34,1112.864990234375
afg,m,35_54,1253.9139404296875
afg,m,55_64,276.89599609375
afg,m,65_plus,190.58599853515625
afg,f,15_plus,4227.88818359375
afg,f,15_24,1537.18603515625
afg,f,15_64,4029.083984375
afg,f,25_54,2215.48291015625
afg,f,25_34,1017.6640014648438
afg,f,35_54,1197.8189697265625
afg,f,55_64,276.4150085449219
afg,f,65_plus,198.8040008544922
afg,mf,15_plus,9092.48046875
afg,mf,15_24,3358.156982421875
afg,mf,15_64,8687.388671875
afg,mf,25_54,4754.9462890625
afg,mf,25_34,2214.199951171875
afg,mf,35_54,2540.74609375
afg,mf,55_64,574.2860107421875
afg,mf,65_plus,405.09100341796875
afg,m,15_plus,4702.341796875
afg,m,15_24,1760.7030029296875
afg,m,15_64,4504.4091796875
afg,m,25_54,2455.947998046875
afg,m,25_34,1156.4830322265625
afg,m,35_54,1299.4649658203125
afg,m,55_64,287.75799560546875
afg,m,65_plus,197.93299865722656
afg,f,15_plus,4390.13818359375
afg,f,15_24,1597.4539794921875
afg,f,15_64,4182.97998046875
afg,f,25_54,2298.998046875
afg,f,25_34,1057.717041015625
afg,f,35_54,1241.281005859375
afg,f,55_64,286.52801513671875
afg,f,65_plus,207.1580047607422
afg,mf,15_plus,9344.1123046875
afg,mf,15_24,3454.887939453125
afg,mf,15_64,8928.814453125
afg,mf,25_54,4882.841796875
afg,mf,25_34,2277.02197265625
afg,mf,35_54,2605.81982421875
afg,mf,55_64,591.0849609375
afg,mf,65_plus,415.2969970703125
afg,m,15_plus,4828.60498046875
afg,m,15_24,1810.3299560546875
afg,m,15_64,4626.501953125
afg,m,25_54,2519.40087890625
afg,m,25_34,1188.0830078125
afg,m,35_54,1331.3179931640625
afg,m,55_64,296.77099609375
afg,m,65_plus,202.10299682617188
afg,f,15_plus,4515.5068359375
afg,f,15_24,1644.5579833984375
afg,f,15_64,4302.31298828125
afg,f,25_54,2363.44091796875
afg,f,25_34,1088.93896484375
afg,f,35_54,1274.501953125
afg,f,55_64,294.3139953613281
